Reference,Qty,Value,DNP,Footprint,LCSC,Datasheet,Cost Per,Total Cost
"C1,C40,C41",3,22uF,,:C_0402_1005Metric,C3845593,,0.02,0.06
"C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C2-1,C2-2,C2-3,C2-4,C2-5,C2-6,C2-7,C2-8,C3-1,C3-2,C3-3,C3-4,C3-5,C3-6,C3-7,C3-8",24,0603 RED,,Adafruit IS31FL3731 CharliePlex Grid:CHIPLED_0603_NOOUTLINE,C19171390,,0.05,1.2
"C2,C7,C8,C11,C14,C18",6,100nF,,:C_0402_1005Metric,C1525,,0.02,0.12
"C3,C4,C6,C16,C21",5,0.1uF,,:C_0402_1005Metric,C1525,,0.02,0.1
"C5,C15,C17,C19,C25,C33",6,1uF,,:C_0402_1005Metric,C14445,,0.02,0.12
"C9,C10",2,4.7uF,,:C_0402_1005Metric,C315248,,0.02,0.04
C27,1,10uF,,:C_0402_1005Metric,C315248,,0.02,0.02
C38,1,22pF,,:C_0402_1005Metric,C76960,,0.02,0.02
"D1,D3,D4,D5,D7,D8,D9,D11,D12,D13",10,D_Schottky,,Diode_SMD:D_SOD-523,C917006,,0.05,0.5
D10,1,PRTR5V0U2X,,Package_TO_SOT_SMD:SOT-143,C5180302,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,0.03,0.03
J1,1,USB C 2.0,,Connector_USB:USB_C_Receptacle_Palconn_UTC16-G,C2765186,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,0.1,0.1
"J2,J4",2,JST SH SM04B,,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical,SM04B-SRSS-TB(LF)(SN),,0.06,0.12
J3,1,JST PH,,Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,,0.05,0.05
J6,1,I2C,,,SM04B-SRSS-TB(LF)(SN),,0.06,0.06
L5,1,2.2uh,,Inductor_SMD:L_Coilcraft_LPS3010,C2926400,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121211_YJYCOIN-YHNR4020-2R2M_C2926400.pdf,0.1,0.1
M1,1,Z3OC1T8219731,,,Z3OC1T8219731,,0.8,0.8
"Q1,Q4",2,DMN2058U,,Package_TO_SOT_SMD:SOT-23,C461001,http://www.diodes.com/assets/Datasheets/DMN2058U.pdf,0.05,0.1
Q2,1,MMBT3904,,Package_TO_SOT_SMD:SOT-23,C916374,https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf,0.01,0.01
"R1,R2,R3,R4,R5",5,0,,0201_0603Metric,C106231,,0.01,0.05
"R6,R16,R17,R21,R26,R28,R32,R45,R46",9,10K,,0402_1005Metric,C60490,,0.01,0.09
"R7,R8",2,4.7K,,0402_1005Metric,C105871,,0.01,0.02
"R9,R10",2,5.1K,,0402_1005Metric,C25905,,0.01,0.02
"R11,R15,R24",3,150K,,0402_1005Metric,C93947,,0.01,0.03
"R12,R13,R31,R36,R41,R42,R43,R44",8,1K,,0402_1005Metric,C106235,,0.01,0.08
"R14,R22",2,680K,,0402_1005Metric,C163456,,0.01,0.02
"R19,R20",2,1.8K,,0402_1005Metric,C163481,,0.01,0.02
"R23,R25",2,100K,,0402_1005Metric,C60491,,0.01,0.02
R27,1,330,,0402_1005Metric,C105875,,0.01,0.01
R29,1,75K,,0402_1005Metric,,,,0
"R34,R35",3,10K,DNP,0402_1005Metric,C60490,,0.01,0.03
R33,1,150,,0402_1005Metric,C138054,,0.01,0.01
"R48,R50,R52",3,0,DNP,0402_1005Metric,C106231,,0.01,0.03
"R49,R51,R53,R54",4,0,,0402_1005Metric,C106231,,0.01,0.04
SW1,1,Reset,,Button_Switch_SMD:SW_SPST_B3U-1000P-B,C231329,,0.16,0.16
"SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11",8,SW_Push,,Button_Switch_SMD:SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,C25168849,,0.07,0.56
U1,1,MPR121QR2,,Package_DFN_QFN:UQFN-20_3x3mm_P0.4mm,C91322,https://resurgentsemi.com/wp-content/uploads/2018/09/MPR121_rev5-Resurgent.pdf?d453f8&d453f8,3.07,3.07
U2,1,BQ24079RGT,,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C2876751,http://www.ti.com/lit/ds/symlink/bq24079.pdf,2,2
U3,1,ESP32-S3-WROOM-1,,RF_Module:ESP32-S3-WROOM-1,C2913202,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,4.1,4.1
U4,1,IS31FL3731-QF,,Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,C191206,http://www.issi.com/WW/pdf/31FL3731.pdf,1,1
U10,1,SY8089,,Package_TO_SOT_SMD:SOT-23-5,C79313,https://lcsc.com/product-detail/DC-DC-Converters_Silergy_SY8088AAC_SY8088AAC_C79313.html,0.06,0.06
Y1,1,32.768KHz,,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,C97606,,0.25,0.25
,1,Battery,,,,,1,1
,4,M2 SMT Mount,,,C5301799,,0.05,0.2
,4,M2x4 screws,,,,,0.01,0.04
,1,GC9A01,,GC9A01 – 1.28 TFT Screen,,,2,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,18.46
