Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0402_1005Metric,-25.26,11.61,180,B
C2,100nF,C_0402_1005Metric,-25.26,10.57,180,B
C3,0.1uF,C_0402_1005Metric,-13.66,13.22,-90,B
C4,0.1uF,C_0402_1005Metric,-18.77,13.09,-90,B
C5,1uF,C_0402_1005Metric,-22.21,11.18,90,B
C6,0.1uF,C_0402_1005Metric,-34.77,28.01,135,B
C9,4.7uF,C_0402_1005Metric,10.11,-19.69,-90,B
C10,4.7uF,C_0402_1005Metric,11.01,-25.93,180,B
C12,100nF,C_0402_1005Metric,-9.7,15.26,-90,B
C13,10uF,C_0402_1005Metric,-10.755,15.25,-90,B
C17,1uF,C_0402_1005Metric,-4.830001,-13.69,-90,B
C18,100nF,C_0402_1005Metric,-3.73,-13.69,-90,B
C19,1uF,C_0402_1005Metric,6.11,-19.69,90,B
C24,1uF,C_0402_1005Metric,-6.5,-10.91,180,B
C25,1uF,C_0402_1005Metric,7.31,-25.19,90,B
C27,10uF,C_0402_1005Metric,27.85,-26.47,45,B
C33,1uF,C_0402_1005Metric,11.71,-27.46,0,B
C37,100nF,C_0402_1005Metric,-1.17,26.63,180,B
C38,22pF,C_0402_1005Metric,14.96,-27.16,180,B
C40,22uF,C_0402_1005Metric,6.79,-27.28,90,B
C41,22uF,C_0402_1005Metric,7.85,-27.27,90,B
D1,D_Schottky,D_SOD-523,4.08,-21.29,90,B
D3,D_Schottky,D_SOD-523,-4.67,0.47,0,B
D4,D_Schottky,D_SOD-523,30.71,-26.66,-135,B
D6,D_Schottky,D_SOD-523,-4.73,-11.29,90,B
D10,PRTR5V0U2X,SOT-143,-0.52,-22.1425,0,B
H5,MountingHole_Pad,Mounting_Wuerth_WA-SMSI-M2_H6mm_9774060243,-20.5,31.5,180,B
H6,MountingHole_Pad,Mounting_Wuerth_WA-SMSI-M2_H6mm_9774060243,31.5,20.5,180,B
H7,MountingHole_Pad,Mounting_Wuerth_WA-SMSI-M2_H6mm_9774060243,20.5,-31.5,0,B
H8,MountingHole_Pad,Mounting_Wuerth_WA-SMSI-M2_H6mm_9774060243,-31.5,-20.5,90,B
J1,USB C 2.0,USB_C_Receptacle_Palconn_UTC16-G,0,-28.85,180,B
J3,JST PH,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,23.378828,-22.702391,45,B
J4,I2C,PinSocket_1x04_P2.54mm_Vertical,29.59756,7.572286,0,B
J5,UART,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,-32.5,-32.5,135,B
J6,I2C,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,32.5,32.5,-45,B
JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,-4.93,-7.01,0,B
L5,2.2uh,L_Coilcraft_LPS3010,8.11,-30.28,90,B
M1,Z3OC1T8219731,Vybronics_VZ30C1T8219732L,-15.582361,-24.022361,135,B
Q1,DMN2058U,SOT-23,-10.093471,-18.097926,135,B
Q2,MMBT3904,SOT-23,2.48,-18.52,0,B
Q3,DMN2058U,SOT-23,-6.4,25.61,90,B
Q4,BSS138,SOT-23,-3.49,-19.46,-90,B
R1,0,R_0201_0603Metric,-7.77,11.22,0,B
R2,0,R_0201_0603Metric,-7.749999,10.29,0,B
R3,0,R_0201_0603Metric,-16.86,10.94,-90,B
R4,0,R_0201_0603Metric,-15.59,10.93,-90,B
R5,0,R_0201_0603Metric,-16.29,14.51,180,B
R6,10K,R_0402_1005Metric,-23.33,11.17,90,B
R7,4.7K,R_0402_1005Metric,-15.56,-11.02,-90,B
R8,4.7K,R_0402_1005Metric,-14.4,-11,-90,B
R9,5.1K,R_0402_1005Metric,0.99,-24.64,0,B
R10,5.1K,R_0402_1005Metric,-2.01,-24.65,180,B
R11,150K,R_0402_1005Metric,-11.8,10.420001,180,B
R12,0,R_0201_0603Metric,-4.92,-8.8,180,B
R14,680K,R_0402_1005Metric,14.95,-28.22,180,B
R15,150K,R_0402_1005Metric,14.91,-29.32,0,B
R16,10K,R_0402_1005Metric,-8.8,-10.79,180,B
R18,10K,R_0402_1005Metric,-9.09,17.09,180,B
R19,1.8K,R_0402_1005Metric,7.61,-19.72,-90,B
R20,1.8K,R_0402_1005Metric,8.89,-26.190001,-90,B
R21,10K,R_0402_1005Metric,8.84,-19.710001,90,B
R22,47K,R_0402_1005Metric,1.79,-21.609999,90,B
R23,100K,R_0402_1005Metric,2.78,-21.6,90,B
R24,150K,R_0402_1005Metric,-11.769999,11.52,180,B
R25,100K,R_0402_1005Metric,15.19,-31.56,180,B
R26,10K,R_0402_1005Metric,6.93,-21.79,-90,B
R27,330,R_0402_1005Metric,-4.95,-0.72,180,B
R28,10K,R_0402_1005Metric,13.45,-25.135001,180,B
